station_37, 190.173, 109.937, 0.619557
House 3_16, 193.975, -25.2645, 0
House 3_17, 194.059, -40.3402, 0
station_38, 189.238, 92.5139, 0.619557
station_39, 189.119, 75.7174, 0.619557
station_40, 188.919, 59.3944, 0.619557
station_41, 188.855, 43.1331, 0.619557
station_42, 186.632, 28.8057, 0.619557
station_43, 187.024, 14.1659, 0.619557
station_44, 188.125, -1.63657, 0.619557
station_45, 188.131, -17.9624, 0.619557
station_46, 188.197, -32.3567, 0.619557
station_47, 122.008, 292.11, 0.619557
station_48, 122.339, 265.212, 0.619557
station_49, 122.768, 236.997, 0.619557
station_50, 122.749, 209.403, 0.619557
station_51, 122.904, 184.306, 0.619557
station_52, 123.617, 159.382, 0.619557
station_53, 123.868, 133.45, 0.619557
station_54, 123.493, 109.477, 0.619557
station_55, 123.53, 84.547, 0.619557
station_56, 123.794, 61.5855, 0.619557
station_57, 124.248, 37.9459, 0.619557
station_58, 123.902, 13.0874, 0.619557
station_59, 123.115, -11.5572, 0.619557
station_60, 122.903, -35.4355, 0.619557
station_61, 91.9811, -30.365, 0.619557
station_62, 91.931, -10.4313, 0.619557
station_63, 91.7785, 9.44936, 0.619557
station_64, 91.9673, 30.505, 0.619557
station_65, 92.2983, 51.4922, 0.619557
station_66, 91.9528, 69.3481, 0.619557
station_67, 91.9654, 86.7709, 0.619557
station_68, 91.821, 105.697, 0.619557
station_69, 91.9567, 124.048, 0.619557
station_70, 92.4065, 144.413, 0.619557
station_71, 92.2489, 166.326, 0.619557
station_72, 92.0767, 186.661, 0.619557
station_73, 91.974, 207.371, 0.619557
station_74, 91.8453, 227.246, 0.619557
station_75, 91.9066, 247.814, 0.619557
station_76, 92.0176, 270.083, 0.619557
station_77, 91.5802, 292.544, 0.619557
station_78, -7.55558, 289.679, 0.619557
station_79, -7.43419, 261.065, 0.619557
station_80, -7.83566, 234.854, 0.619557
station_81, -8.05908, 209.269, 0.619557
station_82, -8.56798, 184.732, 0.619557
station_83, -9.14025, 160.855, 0.619557
station_84, -9.27634, 136.51, 0.619557
station_85, -8.895, 109.512, 0.619557
station_86, -9.78538, 83.2637, 0.619557
station_87, -10.2079, 60.3107, 0.619557
station_88, -10.978, 36.1204, 0.619557
station_89, -51.1745, 33.7534, 0.619557
station_90, -50.8999, 57.7574, 0.619557
station_91, -51.0325, 83.963, 0.619557
station_92, -50.8741, 110.846, 0.619557
station_93, -50.8721, 137.044, 0.619557
station_94, -50.2906, 160.679, 0.619557
station_95, -50.7131, 185.05, 0.619557
station_96, -50.3744, 209.22, 0.619557
station_97, -50.1779, 236.62, 0.619557
station_98, -49.512, 261.145, 0.619557
station_99, -49.8926, 290.989, 0.619557
